iteration,total_runs,obs_realization,par_realization,din,all_params
0,100,0,0,401.206,0
0,100,1,1,10.893,0
0,100,2,2,10.7136,0
0,100,3,3,406.439,0
0,100,4,4,29.4767,0
0,100,5,5,24.2624,0
0,100,6,6,146.578,0
0,100,7,7,138.547,0
0,100,8,8,15.0946,0
0,100,9,9,319.823,0
0,100,10,10,11.4723,0
0,100,11,11,142.293,0
0,100,12,12,10.5256,0
0,100,13,13,205.445,0
0,100,14,14,6.70735,0
0,100,15,15,203.467,0
0,100,16,16,288.199,0
0,100,17,17,208.325,0
0,100,18,18,18.6021,0
0,100,19,19,17.1117,0
0,100,20,20,4.96042,0
0,100,21,21,7.25188,0
0,100,22,22,61.6001,0
0,100,23,23,276.283,0
0,100,24,24,247.494,0
0,100,25,25,342.478,0
0,100,26,26,295.419,0
0,100,27,27,296.952,0
0,100,28,28,347.377,0
0,100,29,29,4.8016,0
0,100,30,30,319.18,0
0,100,31,31,5.61673,0
0,100,32,32,46.8771,0
0,100,33,33,27.0516,0
0,100,34,34,5.47339,0
0,100,35,35,5.00687,0
0,100,36,36,7.91217,0
0,100,37,37,341.096,0
0,100,38,38,6.10831,0
0,100,39,39,137.69,0
0,100,40,40,218.853,0
0,100,41,41,48.1412,0
0,100,42,42,214.933,0
0,100,43,43,101.951,0
0,100,44,44,7.3057,0
0,100,45,45,7.11345,0
0,100,46,46,17.5784,0
0,100,47,47,13.057,0
0,100,48,48,331.138,0
0,100,49,49,321.874,0
0,100,50,50,6.60827,0
0,100,51,51,8.74368,0
0,100,52,52,6.63481,0
0,100,53,53,5.44546,0
0,100,54,54,207.849,0
0,100,55,55,14.2947,0
0,100,56,56,253.382,0
0,100,57,57,395.638,0
0,100,58,58,342.822,0
0,100,59,59,270.06,0
0,100,60,60,178.558,0
0,100,61,61,231.97,0
0,100,62,62,11.2817,0
0,100,63,63,339.04,0
0,100,64,64,6.92397,0
0,100,65,65,199.983,0
0,100,66,66,16.3484,0
0,100,67,67,11.9505,0
0,100,68,68,40.7454,0
0,100,69,69,396.635,0
0,100,70,70,342.518,0
0,100,71,71,169.972,0
0,100,72,72,21.4573,0
0,100,73,73,16.2897,0
0,100,74,74,77.5528,0
0,100,75,75,77.09,0
0,100,76,76,71.3654,0
0,100,77,77,226.589,0
0,100,78,78,21.3649,0
0,100,79,79,32.7946,0
0,100,80,80,13.6617,0
0,100,81,81,16.5505,0
0,100,82,82,8.70257,0
0,100,83,83,58.8472,0
0,100,84,84,5.74315,0
0,100,85,85,374.997,0
0,100,86,86,406.632,0
0,100,87,87,322.488,0
0,100,88,88,22.4536,0
0,100,89,89,11.2183,0
0,100,90,90,5.62732,0
0,100,91,91,4.51556,0
0,100,92,92,4.70851,0
0,100,93,93,11.094,0
0,100,94,94,143.997,0
0,100,95,95,6.06398,0
0,100,96,96,26.0448,0
0,100,97,97,58.6298,0
0,100,98,98,66.823,0
0,100,99,99,4.51854,0
1,240,0,0,6.61907,1.19549
1,240,1,1,4.59708,0.0353454
1,240,2,2,4.71647,0.0434158
1,240,3,3,6.00851,1.21051
1,240,4,4,4.74432,0.102853
1,240,5,5,4.755,0.138844
1,240,6,6,14.8491,0.511583
1,240,7,7,4.9268,0.379213
1,240,8,8,4.56675,0.0489726
1,240,9,9,5.40828,0.934131
1,240,10,10,4.58761,0.0348901
1,240,11,11,6.76928,0.401706
1,240,12,12,8.67099,0.0641994
1,240,13,13,6.95784,0.632137
1,240,14,14,5.48025,0.00938187
1,240,15,15,8.60494,0.564289
1,240,16,16,7.66375,0.85174
1,240,17,17,5.89654,0.715395
1,240,18,18,16.9522,0.0534452
1,240,19,19,14.8696,0.0462854
1,240,20,20,4.86854,0.00373717
1,240,21,21,4.69578,0.0150766
1,240,22,22,4.85046,0.194013
1,240,23,23,5.829,0.822775
1,240,24,24,5.44809,0.73593
1,240,25,25,7.51801,1.06096
1,240,26,26,7.59106,0.859244
1,240,27,27,7.00784,0.844472
1,240,28,28,6.73255,0.968568
1,240,29,29,4.62918,0.000584199
1,240,30,30,6.49769,0.954151
1,240,31,31,5.36095,0.00361504
1,240,32,32,6.58863,0.1095
1,240,33,33,5.32003,0.0535881
1,240,34,34,4.93777,0.00375529
1,240,35,35,5.248,0.000427733
1,240,36,36,4.62618,0.0231973
1,240,37,37,7.6123,1.01622
1,240,38,38,5.65046,0.0108402
1,240,39,39,5.59665,0.399464
1,240,40,40,6.82886,0.640338
1,240,41,41,5.16938,0.125012
1,240,42,42,5.81427,0.688185
1,240,43,43,5.21716,0.277963
1,240,44,44,7.1663,0.0186261
1,240,45,45,4.54854,0.0135118
1,240,46,46,13.5228,0.0954421
1,240,47,47,5.74344,0.0186672
1,240,48,48,7.25902,0.934751
1,240,49,49,5.4264,0.939308
1,240,50,50,4.52383,0.0161963
1,240,51,51,6.1456,0.0122775
1,240,52,52,4.71306,0.007138
1,240,53,53,5.41162,0.00122184
1,240,54,54,6.59884,0.636184
1,240,55,55,11.9639,0.0435885
1,240,56,56,9.03942,0.674191
1,240,57,57,6.8515,1.1557
1,240,58,58,7.04564,0.977052
1,240,59,59,8.11365,0.752542
1,240,60,60,8.87574,0.519055
1,240,61,61,7.41383,0.69031
1,240,62,62,4.51013,0.0395533
1,240,63,63,5.83734,0.967658
1,240,64,64,6.76943,0.0186391
1,240,65,65,7.14862,0.66324
1,240,66,66,4.96236,0.0569888
1,240,67,67,9.91204,0.0409806
1,240,68,68,5.18998,0.0882152
1,240,69,69,7.28174,1.16916
1,240,70,70,6.45282,0.977239
1,240,71,71,4.64798,0.503581
1,240,72,72,20.3031,0.066411
1,240,73,73,13.5925,0.0611463
1,240,74,74,4.58488,0.227248
1,240,75,75,4.76643,0.197929
1,240,76,76,4.64264,0.189215
1,240,77,77,7.55243,0.658373
1,240,78,78,5.14441,0.0571923
1,240,79,79,4.78193,0.0851971
1,240,80,80,4.78997,0.0747971
1,240,81,81,5.12785,0.0351219
1,240,82,82,8.5671,0.0170042
1,240,83,83,5.9433,0.160577
1,240,84,84,4.84761,0.00667199
1,240,85,85,7.38468,1.13052
1,240,86,86,4.9565,1.2004
1,240,87,87,5.27344,1.01564
1,240,88,88,5.69171,0.0572067
1,240,89,89,6.01036,0.0248551
1,240,90,90,6.01183,0.0417008
1,240,91,91,4.49911,0.00196709
1,240,92,92,4.89607,0.0446806
1,240,93,93,5.65845,0.0185708
1,240,94,94,15.1584,0.490066
1,240,95,95,5.35055,0.00801678
1,240,96,96,6.7452,0.059903
1,240,97,97,4.6108,0.153137
1,240,98,98,4.81074,0.243026
1,240,99,99,4.57882,0.00126237
2,380,0,0,4.56572,1.03948
2,380,1,1,4.58863,0.0316001
2,380,2,2,4.84385,0.0190903
2,380,3,3,4.52074,1.09775
2,380,4,4,4.57089,0.142331
2,380,5,5,4.73075,0.135086
2,380,6,6,13.2646,0.793675
2,380,7,7,4.80432,0.414235
2,380,8,8,4.50403,0.0594502
2,380,9,9,4.83311,0.895178
2,380,10,10,4.58661,0.0341029
2,380,11,11,4.70927,0.373289
2,380,12,12,6.65925,0.339711
2,380,13,13,5.52799,0.67898
2,380,14,14,4.79248,0.0471099
2,380,15,15,4.98833,0.542414
2,380,16,16,4.76172,0.766258
2,380,17,17,5.16135,0.770221
2,380,18,18,11.2625,0.487897
2,380,19,19,12.2938,0.376054
2,380,20,20,5.10672,0.00589336
2,380,21,21,4.76921,0.0380164
2,380,22,22,4.77352,0.202441
2,380,23,23,4.50311,0.785386
2,380,24,24,4.55917,0.685124
2,380,25,25,5.14823,0.956091
2,380,26,26,4.72305,0.759556
2,380,27,27,4.57717,0.743722
2,380,28,28,4.53183,0.823258
2,380,29,29,4.80561,0.0016335
2,380,30,30,4.52924,0.905564
2,380,31,31,5.07247,0.0198368
2,380,32,32,4.64913,0.164044
2,380,33,33,5.07927,0.0601155
2,380,34,34,4.85304,0.00708326
2,380,35,35,5.29923,0.000747669
2,380,36,36,4.5903,0.0160557
2,380,37,37,5.03701,0.871385
2,380,38,38,4.85074,0.0826982
2,380,39,39,4.65743,0.432436
2,380,40,40,4.74537,0.657347
2,380,41,41,4.75789,0.153034
2,380,42,42,5.0075,0.701622
2,380,43,43,5.0217,0.314443
2,380,44,44,6.92357,0.131866
2,380,45,45,4.54702,0.0147384
2,380,46,46,7.84871,0.604286
2,380,47,47,4.7717,0.0403697
2,380,48,48,4.54149,0.803159
2,380,49,49,4.7113,0.89722
2,380,50,50,4.52105,0.00861556
2,380,51,51,4.60527,0.0354012
2,380,52,52,4.49136,0.018661
2,380,53,53,5.01436,0.00227002
2,380,54,54,4.93221,0.714804
2,380,55,55,4.53806,0.343467
2,380,56,56,4.74168,0.571433
2,380,57,57,4.5218,0.970805
2,380,58,58,4.56713,0.829974
2,380,59,59,4.74827,0.647612
2,380,60,60,5.00687,0.4936
2,380,61,61,4.55449,0.700733
2,380,62,62,4.61516,0.0572965
2,380,63,63,4.6946,0.875482
2,380,64,64,6.01889,0.112515
2,380,65,65,4.68269,0.732071
2,380,66,66,4.48538,0.115438
2,380,67,67,6.4792,0.236625
2,380,68,68,4.99698,0.0966207
2,380,69,69,4.49441,0.959225
2,380,70,70,4.5182,0.872804
2,380,71,71,4.5662,0.499483
2,380,72,72,17.8815,0.546999
2,380,73,73,8.93776,0.350085
2,380,74,74,4.55601,0.235473
2,380,75,75,4.99505,0.206263
2,380,76,76,4.65377,0.184486
2,380,77,77,4.53012,0.626541
2,380,78,78,4.64605,0.0804327
2,380,79,79,4.76422,0.0933642
2,380,80,80,4.59119,0.040383
2,380,81,81,5.09364,0.0512222
2,380,82,82,8.18293,0.150308
2,380,83,83,4.60408,0.202428
2,380,84,84,4.62693,0.0241162
2,380,85,85,4.71076,0.969349
2,380,86,86,4.8707,1.16977
2,380,87,87,4.52302,1.02666
2,380,88,88,4.51161,0.116316
2,380,89,89,4.84961,0.0991801
2,380,90,90,6.13023,0.182862
2,380,91,91,4.5163,0.00510421
2,380,92,92,4.97725,0.124046
2,380,93,93,4.67019,0.0550124
2,380,94,94,13.2972,0.666762
2,380,95,95,4.45414,0.0244864
2,380,96,96,4.49888,0.135286
2,380,97,97,4.5934,0.155818
2,380,98,98,4.83214,0.278403
2,380,99,99,4.51224,0.00250541
3,520,0,0,4.55537,1.02063
3,520,1,1,4.59237,0.0320101
3,520,2,2,4.65737,0.0305844
3,520,3,3,4.52199,1.11192
3,520,4,4,4.57508,0.144008
3,520,5,5,4.77003,0.137409
3,520,6,6,9.10263,1.35308
3,520,7,7,4.86013,0.459986
3,520,8,8,4.50192,0.0587208
3,520,9,9,4.89149,0.938554
3,520,10,10,4.58442,0.033853
3,520,11,11,4.6025,0.368214
3,520,12,12,5.05923,0.649678
3,520,13,13,5.43396,0.797258
3,520,14,14,4.64243,0.0738546
3,520,15,15,4.57017,0.559921
3,520,16,16,4.54881,0.755475
3,520,17,17,4.83337,0.885792
3,520,18,18,6.82416,1.00098
3,520,19,19,10.4719,0.884658
3,520,20,20,5.21872,0.00831918
3,520,21,21,4.72625,0.0361362
3,520,22,22,4.78997,0.20194
3,520,23,23,4.58525,0.802956
3,520,24,24,4.55711,0.670437
3,520,25,25,4.76418,0.94363
3,520,26,26,4.59327,0.740895
3,520,27,27,4.59501,0.723667
3,520,28,28,4.73247,0.79032
3,520,29,29,4.80541,0.00316874
3,520,30,30,4.62813,0.942054
3,520,31,31,4.82298,0.0474958
3,520,32,32,4.87289,0.175989
3,520,33,33,4.96125,0.0640887
3,520,34,34,4.77132,0.0149514
3,520,35,35,5.36142,0.00144452
3,520,36,36,4.57925,0.020533
3,520,37,37,4.63481,0.825927
3,520,38,38,4.51619,0.172589
3,520,39,39,4.517,0.502318
3,520,40,40,4.55283,0.714147
3,520,41,41,4.74519,0.154227
3,520,42,42,4.63294,0.757956
3,520,43,43,5.10946,0.366007
3,520,44,44,6.46463,0.377686
3,520,45,45,4.54624,0.0146588
3,520,46,46,4.72148,1.09509
3,520,47,47,4.78534,0.0423443
3,520,48,48,4.62979,0.775779
3,520,49,49,4.85354,0.936021
3,520,50,50,4.48668,0.0123894
3,520,51,51,4.5978,0.0392811
3,520,52,52,4.49499,0.0187253
3,520,53,53,5.19277,0.00424249
3,520,54,54,5.22191,0.750018
3,520,55,55,4.69646,0.417636
3,520,56,56,5.27476,0.546425
3,520,57,57,4.52801,0.941306
3,520,58,58,4.53558,0.791276
3,520,59,59,4.67397,0.618777
3,520,60,60,4.80804,0.455309
3,520,61,61,4.9221,0.731556
3,520,62,62,4.56891,0.0543686
3,520,63,63,4.77111,0.881047
3,520,64,64,5.23878,0.289792
3,520,65,65,4.58155,0.814184
3,520,66,66,4.4728,0.112165
3,520,67,67,6.60424,0.34932
3,520,68,68,4.94507,0.0995828
3,520,69,69,4.46839,0.905291
3,520,70,70,4.67944,0.869441
3,520,71,71,4.57181,0.527607
3,520,72,72,12.1967,1.23405
3,520,73,73,7.16404,0.637478
3,520,74,74,4.53449,0.252922
3,520,75,75,5.03277,0.226708
3,520,76,76,4.65287,0.182726
3,520,77,77,4.63759,0.623458
3,520,78,78,4.78094,0.0745651
3,520,79,79,4.72235,0.106805
3,520,80,80,4.57169,0.0523345
3,520,81,81,4.92647,0.0748368
3,520,82,82,7.41214,0.40596
3,520,83,83,4.57004,0.228139
3,520,84,84,4.75323,0.0351175
3,520,85,85,4.55344,0.929889
3,520,86,86,4.74747,1.26289
3,520,87,87,4.52082,1.12204
3,520,88,88,4.63074,0.106412
3,520,89,89,4.54067,0.0926147
3,520,90,90,5.8529,0.406645
3,520,91,91,4.51384,0.0125957
3,520,92,92,5.08646,0.272444
3,520,93,93,4.65031,0.0553745
3,520,94,94,10.9468,1.04933
3,520,95,95,4.44643,0.0302611
3,520,96,96,4.769,0.125265
3,520,97,97,4.56529,0.16721
3,520,98,98,4.9755,0.342676
3,520,99,99,4.50784,0.0041509
4,565,0,0,4.55537,1.02063
4,565,1,1,4.59237,0.0320101
4,565,2,2,4.65737,0.0305844
4,565,3,3,4.52199,1.11192
4,565,4,4,4.57508,0.144008
4,565,5,5,4.77003,0.137409
4,565,6,6,9.10263,1.35308
4,565,7,7,4.86013,0.459986
4,565,8,8,4.50192,0.0587208
4,565,9,9,4.89149,0.938554
4,565,10,10,4.58442,0.033853
4,565,11,11,4.6025,0.368214
4,565,12,12,5.05923,0.649678
4,565,13,13,5.57036,0.912399
4,565,14,14,4.64243,0.0738546
4,565,15,15,4.57017,0.559921
4,565,16,16,4.54881,0.755475
4,565,17,17,4.63028,1.00843
4,565,18,18,6.82416,1.00098
4,565,19,19,10.4719,0.884658
4,565,20,20,5.21872,0.00831918
4,565,21,21,4.72625,0.0361362
4,565,22,22,4.78997,0.20194
4,565,23,23,4.58525,0.802956
4,565,24,24,4.55711,0.670437
4,565,25,25,4.76418,0.94363
4,565,26,26,4.59327,0.740895
4,565,27,27,4.59501,0.723667
4,565,28,28,4.73247,0.79032
4,565,29,29,4.80541,0.00316874
4,565,30,30,4.62813,0.942054
4,565,31,31,4.82298,0.0474958
4,565,32,32,4.87289,0.175989
4,565,33,33,4.96125,0.0640887
4,565,34,34,4.77132,0.0149514
4,565,35,35,5.36142,0.00144452
4,565,36,36,4.57925,0.020533
4,565,37,37,4.63481,0.825927
4,565,38,38,4.51619,0.172589
4,565,39,39,4.517,0.502318
4,565,40,40,4.55283,0.714147
4,565,41,41,4.74519,0.154227
4,565,42,42,4.63294,0.757956
4,565,43,43,5.10946,0.366007
4,565,44,44,6.46463,0.377686
4,565,45,45,4.54624,0.0146588
4,565,46,46,4.72148,1.09509
4,565,47,47,4.78534,0.0423443
4,565,48,48,4.62979,0.775779
4,565,49,49,4.85354,0.936021
4,565,50,50,4.48668,0.0123894
4,565,51,51,4.5978,0.0392811
4,565,52,52,4.49499,0.0187253
4,565,53,53,5.19277,0.00424249
4,565,54,54,5.22191,0.750018
4,565,55,55,4.69646,0.417636
4,565,56,56,5.27476,0.546425
4,565,57,57,4.52801,0.941306
4,565,58,58,4.53558,0.791276
4,565,59,59,4.67397,0.618777
4,565,60,60,4.80804,0.455309
4,565,61,61,4.9221,0.731556
4,565,62,62,4.56891,0.0543686
4,565,63,63,4.77111,0.881047
4,565,64,64,5.23878,0.289792
4,565,65,65,4.58155,0.814184
4,565,66,66,4.4728,0.112165
4,565,67,67,6.60424,0.34932
4,565,68,68,4.94507,0.0995828
4,565,69,69,4.46839,0.905291
4,565,70,70,4.67944,0.869441
4,565,71,71,4.57181,0.527607
4,565,72,72,12.1967,1.23405
4,565,73,73,7.16404,0.637478
4,565,74,74,4.53449,0.252922
4,565,75,75,5.03277,0.226708
4,565,76,76,4.65056,0.181321
4,565,77,77,4.63759,0.623458
4,565,78,78,4.78094,0.0745651
4,565,79,79,4.72235,0.106805
4,565,80,80,4.56896,0.0707587
4,565,81,81,4.92647,0.0748368
4,565,82,82,7.41214,0.40596
4,565,83,83,4.57004,0.228139
4,565,84,84,4.75323,0.0351175
4,565,85,85,4.55344,0.929889
4,565,86,86,4.74747,1.26289
4,565,87,87,4.52082,1.12204
4,565,88,88,4.63074,0.106412
4,565,89,89,4.54067,0.0926147
4,565,90,90,4.85366,0.626551
4,565,91,91,4.51384,0.0125957
4,565,92,92,5.08646,0.272444
4,565,93,93,4.65031,0.0553745
4,565,94,94,10.9468,1.04933
4,565,95,95,4.44643,0.0302611
4,565,96,96,4.769,0.125265
4,565,97,97,4.56529,0.16721
4,565,98,98,4.9755,0.342676
4,565,99,99,4.50784,0.0041509
5,705,0,0,4.55409,1.00849
5,705,1,1,4.593,0.032869
5,705,2,2,4.64896,0.043679
5,705,3,3,4.52281,1.12696
5,705,4,4,4.57605,0.14395
5,705,5,5,4.79901,0.139701
5,705,6,6,4.64216,1.73615
5,705,7,7,4.89727,0.507648
5,705,8,8,4.50037,0.0579679
5,705,9,9,4.89406,0.982549
