real_name,din_2009,din_2010,din_2011,din_2012,din_2013,din_2014,din_2015,din_2016,din_2017,din_2018,din_2019,din_2020,din_2021,din_2022,NSE,NSE,NSE_without_2012,,,,NSE_outlet_only,NSE_110_base
0,61.3302,107.621,48.0154,42.6106,17.7137,10.9612,20.8738,58.4789,12.0368,41.0263,34.5445,16.0759,10.5341,29.983,0.537142725,0.31973072,0.5555378957643757,,,,0.537142725,0.31973072
1,62.8204,103.957,52.0695,45.9051,17.3545,9.83526,20.2027,59.6585,10.6635,40.2118,35.0979,14.3929,9.66651,30.7014,0.6779056203078727,0.6667334033247297,0.6905227585811676,,,,0.67790562,0.666733403
2,61.4583,100.437,51.3649,45.4248,17.0181,9.4915,19.6169,58.2495,10.3495,39.285,34.6169,13.9305,9.47337,30.0957,0.48497444016169167,0.40844357497937245,0.4881536630014117,,,,0.48497444,0.408443575
3,61.3849,102.285,50.2122,44.515,17.2728,10.055,19.9238,58.3582,10.7886,39.6625,34.7086,14.5151,9.76639,29.9124,0.407610623,0.40662700121606354,0.4164890895393297,,,,0.407610623,0.406627001
4,61.5022,104.158,49.7785,44.0038,17.2416,10.1526,20.2056,58.4956,11.0912,40.1276,34.5016,14.8937,9.9155,30.0257,0.4145400497353905,0.3634670029487772,0.4298375156558668,,,,0.41454005,0.363467003
5,60.642,99.1924,50.4292,44.6926,16.9413,9.50795,19.4837,57.3831,10.3841,38.9369,34.269,14.021,9.51328,29.7495,0.5056030628497923,0.4799206020651283,0.5073134590185486,,,,0.505603063,0.479920602
6,61.57,107.902,48.4414,42.8739,17.6932,10.7129,21.0601,58.3786,12.0902,41.2328,34.3337,16.2532,10.5769,30.3578,0.5855876429244393,0.5386083321352558,0.600546986,,,,0.585587643,0.538608332
7,67.3927,113.057,55.6434,48.9267,18.7258,10.8256,21.8731,64.0748,11.4362,42.8715,37.2432,15.5355,10.257,32.857,0.48742151304451387,0.477098879,0.5518320180173213,,,,0.487421513,0.477098879
8,68.7314,130.707,50.3078,44.3747,20.3672,14.1602,24.7325,66.4717,14.9033,47.1686,37.9414,19.8009,12.3978,33.1534,0.7564175133408978,0.7060963880990205,0.7604815321126547,,,,0.756417513,0.706096388
9,73.2703,124.444,60.3496,52.6076,20.2827,11.6907,24.1591,69.4588,12.3362,46.2617,39.3911,17.1238,10.9287,35.9429,0.5678810756441115,0.5614392675155413,0.5893973275197637,,,,0.567881076,0.561439268
10,55.76,91.1514,45.9428,41.0065,15.6636,8.8406,17.8863,52.8399,9.92849,36.4829,32.1846,13.1589,9.11567,27.3104,0.057517226386916254,0.044828792,0.055587548,,,,0.057517226,0.044828792
11,58.1317,101.8,45.2731,40.3103,16.8383,10.402,19.8361,55.3586,11.6549,39.3217,33.0373,15.4966,10.2308,28.5065,0.4965273972948645,0.48011713719879556,0.4970504992127085,,,,0.496527397,0.480117137
12,56.0084,97.4977,43.5642,38.929,16.2912,10.0039,19.0757,53.2874,11.3238,38.0768,32.131,15.0182,9.99609,27.489,0.10685009669148127,0.070853114,0.11245300509939049,,,,0.106850097,0.070853114
13,56.0964,106.645,39.8296,35.7598,16.9699,11.8534,20.4129,54.1143,13.2022,40.1718,32.2681,17.2316,11.1214,27.1979,0.5586963543248357,0.5896861968009908,0.6094736909252937,,,,0.558696354,0.589686197
14,60.7045,102.354,49.3447,43.8409,17.2438,10.1525,19.9554,57.6739,11.0887,39.7306,34.4365,14.7875,9.94496,29.7231,0.1815293452031449,0.059184655,0.1903078562779802,,,,0.181529345,0.059184655
15,62.3551,106.268,50.3736,44.6133,17.7082,10.4881,20.6657,59.2924,11.4585,40.8283,35.0541,15.3505,10.1946,30.5321,0.4444868206196757,0.4039498708051543,0.4625991285768558,,,,0.444486821,0.403949871
16,69.146,125.028,53.4389,46.8451,19.8101,12.645,23.9799,66.1491,13.5549,45.9304,37.6663,18.3361,11.5695,33.7249,0.5951490249046993,0.5609313674220724,0.5966333549589506,,,,0.595149025,0.560931367
17,59.0214,106.366,44.5394,39.7857,17.4627,11.3403,20.5565,56.5646,12.4027,40.4215,33.7003,16.4412,10.7332,28.6767,0.5490848681024882,0.5057379286534075,0.5502628385217627,,,,0.549084868,0.505737929
18,63.819,107.563,52.2424,46.1838,18.0704,10.4522,21.0631,60.4408,11.4391,41.3801,35.6384,15.4601,10.2398,31.4174,0.5799580099077011,0.4776589736348621,0.5799659571707836,,,,0.57995801,0.477658974
19,64.8522,108.308,53.6547,47.1875,18.0115,10.1276,21.1971,61.258,11.2014,41.6257,35.7611,15.2749,10.0752,31.9738,0.4838408608268444,0.16360405557069746,0.5005110906123691,,,,0.483840861,0.163604056
20,66.7503,127.383,48.3026,42.6154,19.8967,13.7385,24.282,64.3603,14.771,46.2062,36.7824,19.7539,12.2938,32.3663,0.6354021071591678,0.6103559637120901,0.6445261054474606,,,,0.635402107,0.610355964
21,68.5754,111.944,58.0778,50.7611,18.5065,10.1323,21.7134,64.9502,10.7331,42.6732,37.4055,14.7873,9.79825,33.5242,0.5778808786703297,0.5676245240838216,0.6122981255968811,,,,0.577880879,0.567624524
22,62.9407,105.666,51.395,45.3172,17.5078,10.1772,20.4678,59.9025,10.9688,40.5743,35.1453,14.8102,9.85495,30.6593,0.3815756555284868,0.3783461386508884,0.3840622761837311,,,,0.381575656,0.378346139
23,64.2526,108.906,52.1423,46.0118,18.1747,10.5564,21.2853,60.8984,11.531,41.6544,35.7019,15.6932,10.2972,31.532,0.44242859655960853,0.4427890492334886,0.46040757466132387,,,,0.442428597,0.442789049
24,50.046,83.6793,39.4507,35.6528,14.4139,8.65998,16.3682,47.6874,9.80224,33.9707,29.7752,12.7846,8.92951,24.2756,0.25846286369487614,0.3520965596000123,0.39415764648011387,,,,0.258462864,0.35209656
25,65.8631,117.507,51.2066,45.1803,18.897,12.024,22.4886,63.1209,12.7966,43.7274,36.5816,17.1262,11.0498,31.9313,0.5333246569880428,0.5006660757069501,0.554677211,,,,0.533324657,0.500666076
26,67.462,117.858,53.7562,47.1387,18.9629,11.5104,22.7138,64.2714,12.4176,44.0331,36.8981,16.8515,10.8327,32.9562,0.5318381916205017,0.5306031319386416,0.5388798955844191,,,,0.531838192,0.530603132
27,66.2195,113.905,53.2841,47.0235,18.9708,11.2855,22.2527,62.8573,12.1918,43.1285,36.7077,16.5766,10.7716,32.5331,0.538379306,0.5371339798988382,0.540241786,,,,0.538379306,0.53713398
28,65.7467,112.071,53.4112,47.1144,18.5285,10.9995,21.6879,62.5772,11.7383,42.5144,36.5714,15.8287,10.4276,32.0801,0.4205627126079853,0.422102598,0.4501326450207629,,,,0.420562713,0.422102598
29,64.8719,106.036,54.7263,48.0913,17.86,9.60115,20.927,60.9727,10.7719,41.1711,35.6756,14.7972,9.82802,32.1751,0.42202169119192856,0.3730859477205972,0.423613911,,,,0.422021691,0.373085948
30,62.4293,108.024,49.6884,44.0255,17.8356,10.8816,20.8852,59.6013,11.7654,41.1893,35.1496,15.6974,10.3699,30.4315,0.5485149389792177,0.5320092121342629,0.5510921851263642,,,,0.548514939,0.532009212
31,66.4714,122.656,49.9664,44.2055,19.5096,13.0583,23.3406,64.0333,13.7957,45.0204,37.0354,18.348,11.6968,32.0936,0.6078304454512455,0.5547422968174294,0.6081257015134542,,,,0.607830445,0.554742297
32,58.7443,103.092,45.7069,40.7789,17.2117,10.6232,20.1652,55.8686,11.8975,39.7754,33.4475,15.8417,10.4356,28.8737,0.37354227979325927,0.35169269438588624,0.38562542668491817,,,,0.37354228,0.351692694
33,61.4937,114.324,45.4587,40.504,18.3174,12.3745,21.8905,59.1557,13.4493,42.6097,34.7895,17.73,11.3996,29.8483,0.5467456711825867,0.5181367955349341,0.6280684876857653,,,,0.546745671,0.518136796
34,66.5272,117.825,52.2237,45.827,18.7775,11.6797,22.5969,63.5681,12.5993,43.8673,36.4808,17.0023,10.9028,32.3933,0.5833432514710932,0.5224074756458723,0.6199938566525462,,,,0.583343251,0.522407476
35,50.9783,91.8597,37.5656,34.1091,15.4239,10.0697,17.9253,48.7549,11.5295,36.1814,30.1989,15.0211,10.0601,24.8565,0.3778866721768426,0.4336972827271991,0.4836600896539145,,,,0.377886672,0.433697283
36,62.3435,101.365,52.2445,46.0422,17.1887,9.34756,19.9514,58.826,10.3312,39.6199,34.7072,14.1462,9.49388,30.6788,0.36251998826512044,0.30494497063860826,0.3603269943764561,,,,0.362519988,0.304944971
37,68.6966,116.291,56.486,49.5529,19.0704,11.186,22.4391,65.4227,11.754,43.7763,37.7484,15.9622,10.4558,33.5025,0.597788434,0.5774670894346094,0.6166351521800127,,,,0.597788434,0.577467089
38,64.9299,106.97,54.2999,47.9295,18.075,10.2225,20.8402,61.615,10.8894,41.2425,36.3088,14.7065,9.89254,31.775,0.5115861710677634,0.3330935462539578,0.5165115702324882,,,,0.511586171,0.333093546
39,53.1635,97.6639,38.8394,35.235,16.2143,10.9496,18.883,51.1473,12.2184,37.8081,31.4191,15.8095,10.5207,25.8211,0.4249788302426397,0.43478907297291625,0.4567974649916139,,,,0.42497883,0.434789073
40,63.1281,105.778,51.7815,45.7347,17.5878,10.3191,20.414,60.2424,10.9539,40.6209,35.4739,14.6561,9.84244,30.6777,0.4549640770165092,0.4151443681448519,0.48596237601102954,,,,0.454964077,0.415144368
41,62.0512,104.428,50.5578,44.646,17.4441,10.0128,20.4726,58.7002,11.1366,40.3777,34.5874,15.1123,9.99438,30.5479,0.3328880850231327,0.3249106249320147,0.35378682929354544,,,,0.332888085,0.324910625
42,66.74,122.879,50.1952,44.3098,19.5993,12.8838,23.5907,63.9494,13.8545,45.182,36.8461,18.6435,11.7673,32.4566,0.5468517159179086,0.45889760380953837,0.5471050668190351,,,,0.546851716,0.458897604
43,62.2273,115.885,46.0148,40.8927,18.4866,12.4508,22.2187,59.8069,13.5849,43.0789,34.9715,17.9793,11.4929,30.2777,0.5334803190364344,0.4477284000694072,0.5339939879820964,,,,0.533480319,0.4477284
44,54.7657,92.6729,43.6939,38.9784,15.5678,9.1134,18.203,51.8467,10.5411,36.7921,31.3857,14.0044,9.46668,26.9627,0.3083334366122221,-0.17482009,0.3193038729564809,,,,0.308333437,-0.17482009
45,61.2318,100.046,51.2036,45.3056,17.0469,9.38713,19.6778,57.8208,10.4348,39.2721,34.4288,14.1014,9.55,30.1666,0.6432768306656174,0.6305244406498489,0.6425056309699239,,,,0.643276831,0.630524441
46,60.7127,102.551,49.2624,43.4999,17.023,9.78529,20.0768,57.4581,11.0436,39.7784,33.8856,14.9154,9.87979,29.9182,0.21469252107536252,0.1718346187392643,0.21443044932920452,,,,0.214692521,0.171834619
47,69.6821,122.435,55.4915,48.5173,19.6024,11.8728,23.6415,66.2888,12.8531,45.4222,37.73,17.5532,11.1526,34.1654,0.6502261720264748,0.6433028607858854,0.6869277209684008,,,,0.650226172,0.643302861
48,67.5486,118.52,53.6121,47.2195,19.2238,11.9204,22.7261,64.6572,12.583,44.1784,37.4122,16.894,10.9566,32.8029,0.5944861539858396,0.5702196236587393,0.6144070107522601,,,,0.594486154,0.570219624
49,69.6616,119.499,56.4942,49.4308,19.4578,11.4093,23.1866,66.086,12.2382,44.6856,37.8136,16.8511,10.8015,34.127,0.6570703422621773,0.6148973561892139,0.6656176193954111,,,,0.657070342,0.614897356
50,64.555,105.386,54.3632,47.9864,18.0765,9.84466,20.8977,60.7004,10.8758,41.0437,35.8714,14.9061,9.94923,32.0103,0.4257971751987135,0.42667416436496763,0.4250182090835187,,,,0.425797175,0.426674164
51,63.9616,111.387,50.4883,44.5517,18.1054,11.2167,21.3523,61.2779,11.8774,41.9509,35.7169,15.9447,10.4264,30.9131,0.5803349616823206,0.5679333576012767,0.6301977114583981,,,,0.580334962,0.567933358
52,60.9838,101.638,50.1933,44.5156,17.266,9.80501,20.032,57.5762,10.9712,39.7262,34.3458,14.7718,9.90542,30.1478,0.43687303494636776,0.4295479650115368,0.43619155805828924,,,,0.436873035,0.429547965
53,60.7116,102.885,49.1579,43.52,17.1989,10.0176,20.1619,57.5255,11.2056,39.9088,34.0879,15.0639,10.0044,29.9256,0.5546932974289014,0.5441486771716735,0.5545841684474544,,,,0.554693297,0.544148677
54,67.6046,124.371,50.9737,45.0068,19.8345,13.1952,23.7335,65.0757,13.8811,45.5442,37.4826,18.5766,11.7773,32.689,0.6576593091427274,0.6510518805334538,0.6577274052543597,,,,0.657659309,0.651051881
55,66.9377,108.838,56.6447,49.7345,18.4482,9.97935,21.4334,63.1074,10.7934,41.9599,36.7945,14.9222,9.89333,33.0107,0.4882626966728941,0.48381901907100533,0.5162996176168669,,,,0.488262697,0.483819019
56,65.9005,109.414,54.9328,48.1215,18.1147,10.0125,21.4324,62.2209,11.1009,41.9832,36.03,15.231,10.0006,32.5634,0.398903857,0.3973076090949159,0.414515908,,,,0.398903857,0.397307609
57,68.0438,119.353,53.8094,47.3874,19.4323,12.1324,22.9142,65.189,12.6281,44.3695,37.676,17.0484,11.0101,32.9649,0.5299935772391418,0.48423728626339035,0.531308883,,,,0.529993577,0.484237286
58,69.7572,120.724,56.357,49.5256,19.7063,11.9475,23.2438,66.5598,12.5243,45.0004,38.373,16.9346,10.9806,33.9988,0.5734649901038511,0.5428346234182415,0.5995725893488161,,,,0.57346499,0.542834623
59,65.4402,108.188,54.7463,48.1429,18.1851,10.0115,21.318,61.6318,11.1286,41.7636,36.0311,15.2386,10.0698,32.4343,0.42197706115225464,0.40111541458073674,0.43115462633529755,,,,0.421977061,0.401115415
60,64.8413,112.381,51.6301,45.5303,18.4663,11.1666,21.8369,61.6686,12.0867,42.5079,35.9362,16.3853,10.6339,31.7342,0.4890292486898016,0.46076846176186315,0.5616904604039397,,,,0.489029249,0.460768462
61,69.7048,118.858,57.07,49.8971,19.2998,11.2808,22.9445,66.3276,12.0061,44.5052,37.9364,16.3934,10.6095,34.0921,0.6758361080625136,0.6574334683457426,0.70718488,,,,0.675836108,0.657433468
62,63.6326,109.822,50.7732,44.883,18.2134,10.932,21.4436,60.4071,11.9447,41.8404,35.4477,16.1724,10.5487,31.2394,0.6742599288717452,0.6496207762243587,0.6739556050503634,,,,0.674259929,0.649620776
63,68.6072,113.511,57.3108,50.1851,18.8421,10.5089,22.1185,64.9159,11.1981,43.1199,37.456,15.4738,10.1389,33.6083,0.5088918001287567,0.4397508611345162,0.5536981688498888,,,,0.5088918,0.439750861
64,59.1159,98.2329,48.417,42.8703,16.4921,9.35356,19.2563,55.9127,10.518,38.538,33.2925,14.1671,9.52922,29.0605,0.5036209171928919,0.4148828189911893,0.5091163769220689,,,,0.503620917,0.414882819
65,45.9503,79.2287,34.778,31.9113,13.7812,8.64087,15.6125,43.7524,10.1503,32.6414,28.0853,13.0297,9.11297,22.4312,0.012465692170313902,0.34488631255158586,0.1436815766057422,,,,0.012465692,0.344886313
66,62.0337,106.894,49.4484,44.0015,17.9566,10.9453,20.8093,59.0853,11.7986,40.974,35.1855,15.7552,10.45,30.308,0.44434741719187687,0.42276073779041135,0.4509400612025286,,,,0.444347417,0.422760738
67,59.4975,110.851,43.4667,38.8545,17.9173,12.034,21.4115,57.0106,13.3318,41.6271,33.772,17.6802,11.3352,29.0035,0.6287846741679237,0.45197004416711706,0.670551098,,,,0.628784674,0.451970044
68,65.9024,111.342,54.1283,47.6179,18.5255,10.5571,21.8522,62.225,11.6976,42.5576,36.2537,15.965,10.4304,32.6083,0.2784327923642188,0.26193019503963766,0.27971949902160453,,,,0.278432792,0.261930195
69,61.5102,102.152,50.4775,44.8489,17.4319,10.1404,19.9201,58.5297,10.7975,39.6776,34.9878,14.4811,9.7992,29.96,0.498349392,0.4547414613432096,0.5163632344421574,,,,0.498349392,0.454741461
70,65.0779,107.797,54.1551,47.7667,18.0436,10.3517,20.8732,61.9019,10.9261,41.368,36.3657,14.7208,9.89179,31.7032,0.4871434968159446,0.45494334249421864,0.5243619871353752,,,,0.487143497,0.454943342
71,63.1837,105.89,51.6787,45.6293,17.7838,10.2176,20.7547,59.8258,11.1614,40.8191,35.2198,15.19,10.0461,31.0349,0.4789641398701513,0.47368368402383343,0.4777835835329207,,,,0.47896414,0.473683684
72,63.8262,109.871,51.3425,45.3036,18.1542,10.6925,21.4897,60.4349,11.9256,41.9623,35.3751,16.129,10.5219,31.5157,0.6976962041872516,0.6884843676479748,0.7124238430954204,,,,0.697696204,0.688484368
73,64.0314,104.778,53.5884,47.2721,17.8624,9.82521,20.6596,60.4139,10.747,40.7002,35.6311,14.7194,9.82458,31.5618,0.434880122,0.39394304505463973,0.45204161332959547,,,,0.434880122,0.393943045
74,66.4882,120.421,51.1811,45.075,19.2949,12.224,23.2905,63.3507,13.4652,44.7261,36.5002,18.1534,11.5118,32.6741,0.5840738722540246,0.578631762,0.5918915515513958,,,,0.584073872,0.578631762
75,62.7435,120.074,45.0159,39.9345,18.8565,13.0349,23.012,60.3445,14.3665,44.1516,34.9588,19.0853,11.9834,30.5904,0.5979734124650784,0.3926156591342258,0.6000290841378555,,,,0.597973412,0.392615659
76,60.2548,106.378,46.8142,41.7285,17.5631,11.1209,20.5605,57.6388,12.0797,40.6048,34.3258,15.9751,10.5478,29.3416,0.4209923393415259,0.3899377050704569,0.43570785214316565,,,,0.420992339,0.389937705
77,63.2279,110.846,49.7776,44.1108,18.3516,11.2203,21.6608,60.0312,12.3778,42.1318,35.3226,16.678,10.8299,31.1214,0.5933577652976549,0.5650514930516695,0.5980628541513711,,,,0.593357765,0.565051493
78,65.1802,106.104,54.8302,48.1994,17.8186,9.85272,20.631,61.8349,10.445,40.9034,36.1628,14.2729,9.58425,31.7771,0.6797881060533966,0.6789568229047046,0.6810763188252259,,,,0.679788106,0.678956823
79,60.5229,111.074,45.1927,40.178,17.8653,11.7507,21.426,57.9487,13.0038,41.7573,34.0644,17.2791,11.1044,29.5451,0.5513429271500476,0.5014623569243344,0.5572218535285642,,,,0.551342927,0.501462357
80,65.8957,112.41,53.5382,47.0709,18.3977,10.875,21.7324,62.7103,11.6815,42.5742,36.3901,15.8053,10.3577,32.1876,0.5773307891037032,0.5444763869402574,0.5892045453252337,,,,0.577330789,0.544476387
81,61.1126,121.424,41.6662,37.1917,18.7106,13.8163,22.8745,59.5107,14.9325,44.0995,34.582,19.5161,12.256,29.3168,0.5789548178702137,0.5370949624649004,0.6062428850988564,,,,0.578954818,0.537094962
82,59.6623,97.5913,49.6424,43.8368,16.4063,9.04056,19.1144,56.4204,10.1578,38.4069,33.4861,13.71,9.28843,29.3253,0.4296980470392242,0.071724658,0.4289491361170015,,,,0.429698047,0.071724658
83,60.8805,110.621,45.8857,41.0339,18.1768,11.9975,21.3132,58.4794,12.908,41.6861,34.8011,17.0362,11.1043,29.5421,0.6403781421629349,0.4916108206374623,0.6452577560821733,,,,0.640378142,0.491610821
84,67.004,118.859,52.7191,46.452,19.3713,11.9182,23.1261,63.6793,13.0785,44.4763,36.8632,17.6893,11.3141,33.0285,0.676803103,0.6437864506159565,0.7357476306077576,,,,0.676803103,0.643786451
85,61.8155,107.058,48.9125,43.4836,17.8371,11.004,20.7197,59.0779,11.7711,40.8715,35.0677,15.6926,10.3914,30.0446,0.5931586233850772,0.5844028267826142,0.5929106947654859,,,,0.593158623,0.584402827
86,63.4424,107.256,51.4578,45.5284,17.9464,10.6409,20.8406,60.3901,11.3262,41.0767,35.6112,15.284,10.1446,30.9077,0.5024271772015179,0.49144676572540835,0.5171505944006342,,,,0.502427177,0.491446766
87,66.0749,119.056,50.752,44.8181,19.2567,12.2924,22.9597,63.1896,13.2279,44.2217,36.6131,17.8276,11.3741,32.2004,0.663195768,0.6517992365306247,0.6718947136197534,,,,0.663195768,0.651799237
88,68.718,112.245,58.1209,51.1007,19.0126,10.5566,21.8926,65.1403,11.0132,42.8849,37.9917,15.0858,10.0607,33.6182,0.6302479044440024,0.6316949599141708,0.6716609743806224,,,,0.630247904,0.63169496
89,66.8032,116.874,52.933,46.5425,19.02,11.5882,22.6641,63.5539,12.5134,43.7849,36.694,17.0313,10.9274,32.7051,0.7375995464972211,0.7111213944311288,0.740770588,,,,0.737599546,0.711121394
90,67.2478,114.461,54.991,48.2555,18.8335,10.8102,22.3734,63.5507,11.94,43.4018,36.7384,16.339,10.5895,33.2126,0.5361077024998764,0.43537974634219245,0.5752569052214023,,,,0.536107702,0.435379746
91,43.4217,71.2567,34.0534,31.4949,13.084,7.71814,14.3745,40.987,9.29825,30.6165,27.1314,11.8994,8.60102,21.4215,0.06590703,0.2131433032869544,0.19668521880204226,,,,0.06590703,0.213143303
92,50.1943,93.5166,35.6531,32.348,15.1206,10.4517,17.9152,48.4403,11.8576,36.3198,29.7286,15.2737,10.1588,24.2043,0.4025863110713296,0.46970332614732946,0.4116737778947731,,,,0.402586311,0.469703326
93,58.462,107.077,43.3619,38.8036,17.3919,11.6803,20.5167,56.3591,12.6308,40.4547,33.5836,16.5813,10.8299,28.2292,0.46609968628496645,0.4694007586205581,0.47035622613401795,,,,0.466099686,0.469400759
94,59.3659,114.58,41.7034,37.2503,18.0699,12.7329,21.9195,57.3047,14.0715,42.4235,33.6346,18.5347,11.7332,28.8131,0.5924667206107872,0.2757604778788767,0.6961570944074793,,,,0.592466721,0.275760478
95,56.6211,95.6884,45.2649,40.6456,16.4884,9.92263,18.7602,53.8531,10.8672,37.7212,32.9375,14.3585,9.78756,27.6498,0.2875134542809039,0.32455458671520665,0.37451979215442477,,,,0.287513454,0.324554587
96,64.9024,107.775,53.8074,47.5007,18.1853,10.3338,21.07,61.4667,11.1224,41.4682,36.1802,15.1089,10.0642,31.8279,0.5596643409840855,0.5592848136349876,0.5670899200863664,,,,0.559664341,0.559284814
97,60.8064,112.049,45.0873,40.3332,18.3327,12.2445,21.6287,58.3934,13.2836,42.0497,34.6713,17.5816,11.3479,29.5665,0.4467054941100629,0.4427541183727407,0.4476650348043515,,,,0.446705494,0.442754118
98,59.6402,110.051,43.9556,39.0801,17.5517,11.7125,21.1011,57.2783,12.8704,41.2632,33.6332,17.0994,10.9782,28.8895,0.5676941872041281,0.5478205555915288,0.662808756,,,,0.567694187,0.547820556
99,65.9175,112.461,53.3649,46.9617,18.6104,10.9311,21.9188,62.5766,11.8169,42.6533,36.3851,16.1146,10.4874,32.3275,0.5783844306657036,0.5055943986713605,0.5907982778863781,,,,0.578384431,0.505594399
