STATION,Site Name,DateTime,Oxidised nitrogen (mg/L) ,Ammonium nitrogen,DIN,Flow at sample time,Equipment contamination,Sample Temp,Days from sample to analysis,Days to filtering
126001A,Sandy Creek at Homebush,17/11/2016 10:45,0.003,0.008,0.011,Low flow,MA,Normal,36,0
126001A,Sandy Creek at Homebush,1/12/2016 9:30,0.004,0.007,0.011,Low flow,MA,Normal,41,0
126001A,Sandy Creek at Homebush,8/12/2016 13:20,0.004,0.009,0.013,Low flow,MA,Normal,34,0
126001A,Sandy Creek at Homebush,12/12/2016 21:15,0.593,0.069,0.662,High flow,AS,Normal,30,
126001A,Sandy Creek at Homebush,13/12/2016 3:23,0.424,0.034,0.458,High flow,AS,Normal,29,
126001A,Sandy Creek at Homebush,13/12/2016 9:31,6.95,0.126,7.076,High flow,AS,Normal,29,
126001A,Sandy Creek at Homebush,14/12/2016 6:14,3.69,0.175,3.865,High flow,AS,Normal,28,
126001A,Sandy Creek at Homebush,14/12/2016 12:22,3.02,0.189,3.209,High flow,AS,Normal,28,
126001A,Sandy Creek at Homebush,14/12/2016 18:30,2.47,0.184,2.654,High flow,AS,Normal,28,
126001A,Sandy Creek at Homebush,15/12/2016 0:38,2.37,0.188,2.558,High flow,AS,Normal,27,
126001A,Sandy Creek at Homebush,15/12/2016 6:46,1.86,0.176,2.036,High flow,AS,Normal,27,
126001A,Sandy Creek at Homebush,15/12/2016 12:54,1.39,0.151,1.541,High flow,AS,Normal,27,
126001A,Sandy Creek at Homebush,15/12/2016 19:02,2.12,0.128,2.248,Low flow,AS,Normal,27,
126001A,Sandy Creek at Homebush,16/12/2016 1:10,1.9,0.124,2.024,Low flow,AS,Normal,26,
126001A,Sandy Creek at Homebush,16/12/2016 7:18,1.41,0.116,1.526,Low flow,AS,Normal,26,
126001A,Sandy Creek at Homebush,16/12/2016 20:41,1.11,0.028,1.138,High flow,AS,Normal,40,
126001A,Sandy Creek at Homebush,19/12/2016 3:37,0.688,0.08,0.768,High flow,AS,Suboptimal,46,
126001A,Sandy Creek at Homebush,19/12/2016 12:45,0.666,0.076,0.742,Low flow,AS,Suboptimal,46,
126001A,Sandy Creek at Homebush,29/12/2016 9:50,0.348,0.044,0.392,Low flow,MA,Normal,36,0
126001A,Sandy Creek at Homebush,3/01/2017 19:29,0.359,0.051,0.41,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,3/01/2017 20:51,0.377,0.034,0.411,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,4/01/2017 2:59,0.754,0.052,0.806,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,4/01/2017 9:07,1.05,0.015,1.065,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,4/01/2017 15:15,0.875,0.027,0.902,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,4/01/2017 21:23,1.19,0.024,1.214,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,5/01/2017 3:31,1.39,0.015,1.405,High flow,AS,Suboptimal,29,
126001A,Sandy Creek at Homebush,5/01/2017 9:39,1.32,0.014,1.334,High flow,AS,Suboptimal,29,
126001A,Sandy Creek at Homebush,5/01/2017 13:20,1.12,0.05,1.17,High flow,AS,Suboptimal,29,
126001A,Sandy Creek at Homebush,5/01/2017 15:47,1.11,0.014,1.124,High flow,AS,Suboptimal,29,
126001A,Sandy Creek at Homebush,5/01/2017 19:01,0.809,0.014,0.823,High flow,AS,Suboptimal,29,
126001A,Sandy Creek at Homebush,5/01/2017 22:07,0.878,0.014,0.892,High flow,AS,Suboptimal,29,
126001A,Sandy Creek at Homebush,6/01/2017 0:01,0.986,0.014,1,High flow,AS,Suboptimal,35,
126001A,Sandy Creek at Homebush,6/01/2017 8:11,0.946,0.025,0.971,High flow,AS,Suboptimal,35,
126001A,Sandy Creek at Homebush,6/01/2017 9:30,0.886,0.042,0.928,High flow,AS,Suboptimal,35,
126001A,Sandy Creek at Homebush,13/01/2017 10:10,0.138,0.058,0.196,Low flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,14/01/2017 21:40,0.154,0.085,0.239,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,15/01/2017 3:48,0.207,0.055,0.262,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,15/01/2017 9:56,0.179,0.062,0.241,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,15/01/2017 19:08,0.138,0.047,0.185,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,16/01/2017 4:12,0.124,0.04,0.164,Low flow,AS,Normal,,
126001A,Sandy Creek at Homebush,17/01/2017 2:38,0.115,0.032,0.147,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,17/01/2017 5:30,0.111,0.031,0.142,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,17/01/2017 14:20,0.462,0.033,0.495,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,17/01/2017 23:28,0.16,0.025,0.185,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,18/01/2017 8:36,0.132,0.02,0.152,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,18/01/2017 17:44,0.134,0.027,0.161,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,19/01/2017 2:52,0.155,0.03,0.185,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,19/01/2017 12:00,0.151,0.03,0.181,High flow,AS,Suboptimal,,
126001A,Sandy Creek at Homebush,30/01/2017 14:51,0.492,0.016,0.508,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,30/01/2017 16:41,0.211,0.054,0.265,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,30/01/2017 22:59,0.43,0.034,0.464,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,31/01/2017 3:17,0.218,0.041,0.259,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,31/01/2017 11:35,0.165,0.044,0.209,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,31/01/2017 20:45,0.119,0.046,0.165,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,1/02/2017 5:55,0.128,0.042,0.17,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,2/02/2017 6:38,0.037,0.016,0.053,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,2/02/2017 15:48,0.035,0.016,0.051,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,3/02/2017 0:58,0.042,0.017,0.059,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,3/02/2017 10:08,0.055,0.018,0.073,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,10/02/2017 13:30,0.513,0.029,0.542,Low flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,15/02/2017 14:53,0.145,0.054,0.199,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,15/02/2017 16:51,0.452,0.033,0.485,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,15/02/2017 17:29,0.439,0.039,0.478,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,15/02/2017 18:51,0.355,0.021,0.376,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,15/02/2017 20:41,0.498,0.031,0.529,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,16/02/2017 1:31,0.34,0.023,0.363,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,16/02/2017 4:39,0.182,0.025,0.207,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,16/02/2017 10:49,0.114,0.03,0.144,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,21/02/2017 12:00,0.323,0.028,0.351,Low flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,2/03/2017 10:00,0.615,0.025,0.64,Low flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,8/03/2017 19:34,0.161,0.01,0.171,High flow,contaminated,Normal,,
126001A,Sandy Creek at Homebush,9/03/2017 4:49,0.214,0.013,0.227,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,13/03/2017 11:45,0.468,0.038,0.506,Low flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,20/03/2017 14:59,0.181,0.022,0.203,High flow,AS,Normal,32,
126001A,Sandy Creek at Homebush,20/03/2017 16:21,0.21,0.025,0.235,High flow,AS,Normal,32,
126001A,Sandy Creek at Homebush,20/03/2017 17:13,0.222,0.027,0.249,High flow,AS,Normal,32,
126001A,Sandy Creek at Homebush,20/03/2017 20:43,0.32,0.024,0.344,High flow,AS,Normal,32,
126001A,Sandy Creek at Homebush,21/03/2017 3:03,0.387,0.022,0.409,High flow,AS,Normal,31,
126001A,Sandy Creek at Homebush,21/03/2017 7:19,0.345,0.022,0.367,High flow,AS,Normal,31,
126001A,Sandy Creek at Homebush,22/03/2017 7:29,0.15,0.015,0.165,High flow,AS,Normal,30,
126001A,Sandy Creek at Homebush,22/03/2017 22:24,0.115,0.014,0.129,High flow,AS,Normal,30,
126001A,Sandy Creek at Homebush,23/03/2017 5:10,0.132,0.018,0.15,High flow,AS,Normal,29,
126001A,Sandy Creek at Homebush,23/03/2017 9:08,0.159,0.017,0.176,High flow,AS,Normal,29,
126001A,Sandy Creek at Homebush,23/03/2017 15:14,0.117,0.016,0.133,High flow,AS,Normal,29,
126001A,Sandy Creek at Homebush,23/03/2017 18:18,0.108,0.015,0.123,High flow,AS,Normal,29,
126001A,Sandy Creek at Homebush,23/03/2017 21:26,0.088,0.015,0.103,High flow,AS,Normal,29,
126001A,Sandy Creek at Homebush,24/03/2017 0:50,0.091,0.016,0.107,High flow,AS,Normal,28,
126001A,Sandy Creek at Homebush,24/03/2017 8:12,0.074,0.015,0.089,High flow,AS,Normal,28,
126001A,Sandy Creek at Homebush,24/03/2017 10:24,0.044,0.012,0.056,High flow,AS,Normal,28,
126001A,Sandy Creek at Homebush,27/03/2017 16:40,0.089,0.049,0.138,High flow,AS,Normal,25,
126001A,Sandy Creek at Homebush,27/03/2017 19:44,0.136,0.05,0.186,High flow,AS,Normal,25,
126001A,Sandy Creek at Homebush,28/03/2017 0:58,0.02,0.027,0.047,High flow,AS,Normal,24,
126001A,Sandy Creek at Homebush,28/03/2017 8:12,0.079,0.033,0.112,High flow,AS,Normal,24,
126001A,Sandy Creek at Homebush,28/03/2017 19:40,0.045,0.034,0.079,High flow,AS,Normal,24,
126001A,Sandy Creek at Homebush,29/03/2017 2:16,0.023,0.031,0.054,High flow,AS,Normal,23,
126001A,Sandy Creek at Homebush,29/03/2017 10:16,0.026,0.025,0.051,High flow,AS,Normal,23,
126001A,Sandy Creek at Homebush,29/03/2017 14:32,0.006,0.017,0.023,High flow,AS,Normal,23,
126001A,Sandy Creek at Homebush,30/03/2017 14:12,0.015,0.023,0.038,High flow,AS,Normal,22,
126001A,Sandy Creek at Homebush,31/03/2017 2:28,0.016,0.022,0.038,High flow,AS,Normal,21,
126001A,Sandy Creek at Homebush,5/04/2017 14:10,0.245,0.012,0.257,High flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,13/04/2017 12:55,0.428,0.019,0.447,High flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,20/04/2017 13:30,0.845,0.012,0.857,Low flow,MA,Normal,35,0
126001A,Sandy Creek at Homebush,27/04/2017 15:45,0.813,0.014,0.827,Low flow,MA,Normal,28,0
126001A,Sandy Creek at Homebush,18/05/2017 16:05,0.609,0.015,0.624,High flow,AS,Normal,21,
126001A,Sandy Creek at Homebush,18/05/2017 20:03,0.417,0.018,0.435,High flow,AS,Normal,21,
126001A,Sandy Creek at Homebush,18/05/2017 21:27,0.421,0.019,0.44,High flow,AS,Normal,21,
126001A,Sandy Creek at Homebush,19/05/2017 0:57,0.775,0.016,0.791,High flow,AS,Normal,20,
126001A,Sandy Creek at Homebush,19/05/2017 7:05,0.477,0.012,0.489,High flow,AS,Normal,20,
126001A,Sandy Creek at Homebush,20/05/2017 0:37,0.278,0.018,0.296,High flow,AS,Normal,19,
126001A,Sandy Creek at Homebush,21/05/2017 0:53,0.125,0.015,0.14,High flow,AS,Normal,18,
126001A,Sandy Creek at Homebush,23/05/2017 1:17,0.21,0.016,0.226,High flow,AS,Normal,16,
126001A,Sandy Creek at Homebush,25/05/2017 8:40,0.43,0.026,0.456,High flow,MA,Normal,14,0
126001A,Sandy Creek at Homebush,16/06/2017 10:20,0.745,0.003,0.748,High flow,MA,Normal,18,0
126001A,Sandy Creek at Homebush,26/07/2017 9:50,0.984,0.017,1.001,High flow,MA,Normal,28,0
126001A,Sandy Creek at Homebush,26/07/2017 16:00,0.788,0.01,0.798,High flow,MA,Normal,28,0
126001A,Sandy Creek at Homebush,2/08/2017 14:00,0.637,0.004,0.641,High flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,25/08/2017 13:45,0.758,0.003,0.761,Low flow,AS,Normal,,
126001A,Sandy Creek at Homebush,3/10/2017 14:15,0.104,0.018,0.122,Low flow,MA,Normal,16,0
126001A,Sandy Creek at Homebush,19/10/2017 6:03,0.304,0.014,0.318,First Flush,AS,Normal,,
126001A,Sandy Creek at Homebush,19/10/2017 12:11,0.902,0.04,0.942,First Flush,AS,Normal,,
126001A,Sandy Creek at Homebush,19/10/2017 18:19,0.613,0.013,0.626,First Flush,AS,Normal,,
126001A,Sandy Creek at Homebush,20/10/2017 0:27,3.33,0.097,3.427,First Flush,AS,Normal,,
126001A,Sandy Creek at Homebush,20/10/2017 6:35,3.53,0.222,3.752,First Flush,AS,Normal,,
126001A,Sandy Creek at Homebush,26/10/2017 14:45,2.09,0.015,2.105,First Flush,MA,Normal,,0
126001A,Sandy Creek at Homebush,3/11/2017 8:20,1.24,0.082,1.322,Low flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,28/11/2017 10:35,0.528,0.005,0.533,Low flow,MA,Normal,51,0
126001A,Sandy Creek at Homebush,2/12/2017 3:58,0.233,0.019,0.252,Low flow,AS,Normal,47,
126001A,Sandy Creek at Homebush,2/12/2017 10:06,0.262,0.022,0.284,High flow,AS,Normal,47,
126001A,Sandy Creek at Homebush,2/12/2017 14:50,0.104,0.024,0.128,High flow,AS,Normal,47,
126001A,Sandy Creek at Homebush,3/12/2017 20:03,0.706,0.14,0.846,High flow,AS,Normal,52,
126001A,Sandy Creek at Homebush,4/12/2017 0:11,0.892,0.159,1.051,High flow,AS,Normal,51,
126001A,Sandy Creek at Homebush,4/12/2017 6:19,0.422,0.042,0.464,High flow,AS,Normal,51,
126001A,Sandy Creek at Homebush,4/12/2017 12:27,1.8,0.016,1.816,High flow,AS,Normal,51,
126001A,Sandy Creek at Homebush,4/12/2017 14:04,0.547,0.031,0.578,High flow,AS,Normal,51,
126001A,Sandy Creek at Homebush,5/12/2017 11:59,0.874,0.073,0.947,High flow,AS,Normal,50,
126001A,Sandy Creek at Homebush,5/12/2017 18:07,0.662,0.035,0.697,High flow,AS,Normal,50,
126001A,Sandy Creek at Homebush,6/12/2017 0:15,0.413,0.045,0.458,High flow,AS,Normal,49,
126001A,Sandy Creek at Homebush,6/12/2017 6:23,0.21,0.048,0.258,High flow,AS,Normal,49,
126001A,Sandy Creek at Homebush,12/12/2017 11:15,0.471,0.113,0.584,Low flow,MA,Thawed,43,0
126001A,Sandy Creek at Homebush,13/12/2017 15:19,0.424,0.1,0.524,High flow,AS,Thawed,42,
126001A,Sandy Creek at Homebush,13/12/2017 21:27,0.248,0.124,0.372,High flow,AS,Thawed,42,
126001A,Sandy Creek at Homebush,14/12/2017 3:35,0.224,0.089,0.313,Low flow,AS,Normal,41,
126001A,Sandy Creek at Homebush,14/12/2017 9:45,0.26,0.087,0.347,Low flow,AS,Normal,41,
126001A,Sandy Creek at Homebush,15/12/2017 9:00,0.338,0.108,0.446,Low flow,MA,Thawed,40,0
126001A,Sandy Creek at Homebush,4/02/2018 6:51,0.26,0.012,0.272,High flow,AS,Normal,43,
126001A,Sandy Creek at Homebush,4/02/2018 12:59,0.245,0.039,0.284,High flow,AS,Normal,43,
126001A,Sandy Creek at Homebush,4/02/2018 19:07,0.335,0.021,0.356,High flow,AS,Normal,43,
126001A,Sandy Creek at Homebush,5/02/2018 7:15,1.11,0.025,1.135,High flow,AS,Normal,42,
126001A,Sandy Creek at Homebush,7/02/2018 13:15,1.11,0.054,1.164,Low flow,MA,Normal,42,0
126001A,Sandy Creek at Homebush,23/02/2018 16:01,0.29,0.019,0.309,High flow,AS,Normal,70,
126001A,Sandy Creek at Homebush,23/02/2018 22:08,0.152,0.021,0.173,High flow,AS,Normal,70,
126001A,Sandy Creek at Homebush,24/02/2018 4:17,0.341,0.016,0.357,High flow,AS,Normal,69,
126001A,Sandy Creek at Homebush,24/02/2018 8:00,0.57,0.01,0.58,High flow,AS,Normal,69,
126001A,Sandy Creek at Homebush,24/02/2018 16:39,0.598,0.015,0.613,High flow,AS,Normal,69,
126001A,Sandy Creek at Homebush,25/02/2018 16:47,0.567,0.016,0.583,High flow,AS,Normal,68,
126001A,Sandy Creek at Homebush,25/02/2018 19:03,0.411,0.036,0.447,High flow,AS,Normal,68,
126001A,Sandy Creek at Homebush,26/02/2018 3:33,0.239,0.057,0.296,High flow,AS,Normal,67,
126001A,Sandy Creek at Homebush,28/02/2018 18:35,0.123,0.025,0.148,High flow,AS,Thawed,63,
126001A,Sandy Creek at Homebush,1/03/2018 0:43,0.172,0.023,0.195,High flow,AS,Thawed,62,
126001A,Sandy Creek at Homebush,1/03/2018 6:51,0.283,0.02,0.303,High flow,AS,Thawed,62,
126001A,Sandy Creek at Homebush,1/03/2018 12:58,0.259,0.022,0.281,High flow,AS,Thawed,62,
126001A,Sandy Creek at Homebush,1/03/2018 18:45,0.231,0.021,0.252,High flow,AS,Thawed,62,
126001A,Sandy Creek at Homebush,2/03/2018 0:57,0.084,0.014,0.098,High flow,AS,Thawed,61,
126001A,Sandy Creek at Homebush,2/03/2018 7:05,0.105,0.013,0.118,High flow,AS,Thawed,61,
126001A,Sandy Creek at Homebush,3/03/2018 0:01,0.244,0.038,0.282,High flow,AS,Thawed,60,
126001A,Sandy Creek at Homebush,3/03/2018 0:23,0.236,0.023,0.259,High flow,AS,Thawed,60,
126001A,Sandy Creek at Homebush,3/03/2018 6:31,0.29,0.023,0.313,High flow,AS,Thawed,60,
126001A,Sandy Creek at Homebush,3/03/2018 12:39,0.242,0.021,0.263,High flow,AS,Thawed,60,
126001A,Sandy Creek at Homebush,3/03/2018 18:47,0.196,0.02,0.216,High flow,AS,Thawed,60,
126001A,Sandy Creek at Homebush,4/03/2018 0:55,0.173,0.023,0.196,High flow,AS,Thawed,59,
126001A,Sandy Creek at Homebush,7/03/2018 12:00,0.258,0.055,0.313,Low flow,MA,Normal,58,0
126001A,Sandy Creek at Homebush,9/03/2018 10:00,0.288,0.057,0.345,Low flow,MA,Normal,56,0
126001A,Sandy Creek at Homebush,25/03/2018 16:43,0.21,0.019,0.229,High flow,AS,Normal,40,
126001A,Sandy Creek at Homebush,25/03/2018 22:51,0.175,0.022,0.197,High flow,AS,Normal,40,
126001A,Sandy Creek at Homebush,26/03/2018 4:59,0.169,0.022,0.191,High flow,AS,Normal,39,
126001A,Sandy Creek at Homebush,26/03/2018 11:07,0.236,0.02,0.256,High flow,AS,Normal,39,
126001A,Sandy Creek at Homebush,28/03/2018 14:30,0.23,0.032,0.262,Low flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,2/04/2018 16:41,0.196,0.029,0.225,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,2/04/2018 17:03,0.254,0.032,0.286,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,2/04/2018 17:35,0.332,0.03,0.362,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,2/04/2018 18:21,0.399,0.037,0.436,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,2/04/2018 19:01,0.327,0.041,0.368,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,2/04/2018 20:21,0.307,0.029,0.336,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,2/04/2018 23:03,0.371,0.029,0.4,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,3/04/2018 4:01,0.288,0.02,0.308,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,3/04/2018 5:53,0.294,0.02,0.314,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,3/04/2018 9:43,0.281,0.024,0.305,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,3/04/2018 18:31,0.195,0.021,0.216,High flow,AS,Normal,,
126001A,Sandy Creek at Homebush,4/04/2018 5:49,0.095,0.023,0.118,High flow,AS,Normal,85,
126001A,Sandy Creek at Homebush,4/04/2018 14:52,0.151,0.022,0.173,High flow,AS,Normal,85,
126001A,Sandy Creek at Homebush,5/04/2018 0:05,0.118,0.021,0.139,High flow,AS,Normal,84,
126001A,Sandy Creek at Homebush,5/04/2018 9:13,0.101,0.019,0.12,High flow,AS,Normal,84,
126001A,Sandy Creek at Homebush,5/04/2018 12:00,0.087,0.014,0.101,High flow,AS,Normal,84,
126001A,Sandy Creek at Homebush,11/04/2018 9:45,0.273,0.032,0.305,Low flow,MA,Normal,78,0
126001A,Sandy Creek at Homebush,14/04/2018 17:59,0.156,0.027,0.183,High flow,AS,Normal,53,
126001A,Sandy Creek at Homebush,15/04/2018 0:07,0.114,0.029,0.143,High flow,AS,Normal,52,
126001A,Sandy Creek at Homebush,15/04/2018 6:15,0.12,0.032,0.152,High flow,AS,Normal,52,
126001A,Sandy Creek at Homebush,15/04/2018 12:23,0.094,0.027,0.121,High flow,AS,Normal,52,
126001A,Sandy Creek at Homebush,15/04/2018 18:31,0.082,0.026,0.108,High flow,AS,Normal,52,
126001A,Sandy Creek at Homebush,16/04/2018 0:39,0.071,0.025,0.096,High flow,AS,Normal,51,
126001A,Sandy Creek at Homebush,16/04/2018 6:47,0.082,0.028,0.11,High flow,AS,Normal,51,
126001A,Sandy Creek at Homebush,18/04/2018 10:05,0.185,0.029,0.214,High flow,MA,Normal,49,0
126001A,Sandy Creek at Homebush,2/05/2018 11:45,0.59,0.02,0.61,Low flow,MA,Normal,,0
126001A,Sandy Creek at Homebush,28/05/2018 10:20,0.736,0.004,0.74,Low flow,AS,Normal,42,
